text,label,category,lang,source
"प्रिय ग्राहक, खाते की सुरक्षा हेतु OTP तुरंत बताएं।",1,otp,Hindi,synthetic
Your OTP is <OTP> to stop unauthorized transaction of <AMOUNT>.,1,otp,English,synthetic
Your OTP is <OTP> to stop unauthorized transaction of <AMOUNT>.,1,otp,English,synthetic
"प्रिय ग्राहक, खाते की सुरक्षा हेतु OTP तुरंत बताएं।",1,otp,Hindi,synthetic
Aapke account se suspicious payment attempt hua hai. OTP share karein.,1,otp,Hinglish,synthetic
Your OTP is <OTP> to stop unauthorized transaction of <AMOUNT>.,1,otp,English,synthetic
Your OTP is <OTP> to stop unauthorized transaction of <AMOUNT>.,1,otp,English,synthetic
Your OTP is <OTP> to stop unauthorized transaction of <AMOUNT>.,1,otp,English,synthetic
"प्रिय ग्राहक, खाते की सुरक्षा हेतु OTP तुरंत बताएं।",1,otp,Hindi,synthetic
Your OTP is <OTP> to stop unauthorized transaction of <AMOUNT>.,1,otp,English,synthetic
"प्रिय ग्राहक, खाते की सुरक्षा हेतु OTP तुरंत बताएं।",1,otp,Hindi,synthetic
"प्रिय ग्राहक, खाते की सुरक्षा हेतु OTP तुरंत बताएं।",1,otp,Hindi,synthetic
"प्रिय ग्राहक, खाते की सुरक्षा हेतु OTP तुरंत बताएं।",1,otp,Hindi,synthetic
Your OTP is <OTP> to stop unauthorized transaction of <AMOUNT>.,1,otp,English,synthetic
"प्रिय ग्राहक, खाते की सुरक्षा हेतु OTP तुरंत बताएं।",1,otp,Hindi,synthetic
Aapke account se suspicious payment attempt hua hai. OTP share karein.,1,otp,Hinglish,synthetic
Your OTP is <OTP> to stop unauthorized transaction of <AMOUNT>.,1,otp,English,synthetic
Your OTP is <OTP> to stop unauthorized transaction of <AMOUNT>.,1,otp,English,synthetic
Your OTP is <OTP> to stop unauthorized transaction of <AMOUNT>.,1,otp,English,synthetic
Your OTP is <OTP> to stop unauthorized transaction of <AMOUNT>.,1,otp,English,synthetic
Your OTP is <OTP> to stop unauthorized transaction of <AMOUNT>.,1,otp,English,synthetic
"प्रिय ग्राहक, खाते की सुरक्षा हेतु OTP तुरंत बताएं।",1,otp,Hindi,synthetic
"प्रिय ग्राहक, खाते की सुरक्षा हेतु OTP तुरंत बताएं।",1,otp,Hindi,synthetic
Your OTP is <OTP> to stop unauthorized transaction of <AMOUNT>.,1,otp,English,synthetic
"प्रिय ग्राहक, खाते की सुरक्षा हेतु OTP तुरंत बताएं।",1,otp,Hindi,synthetic
Complete KYC immediately at <URL> to avoid account freeze.,1,kyc,English,synthetic
"प्रिय ग्राहक, आपका KYC अधूरा है। तुरंत सत्यापन करें।",1,kyc,Hindi,synthetic
"प्रिय ग्राहक, आपका KYC अधूरा है। तुरंत सत्यापन करें।",1,kyc,Hindi,synthetic
"प्रिय ग्राहक, आपका KYC अधूरा है। तुरंत सत्यापन करें।",1,kyc,Hindi,synthetic
"प्रिय ग्राहक, आपका KYC अधूरा है। तुरंत सत्यापन करें।",1,kyc,Hindi,synthetic
Aapka PAN-Aadhaar verification pending hai. Update now.,1,kyc,Hinglish,synthetic
Complete KYC immediately at <URL> to avoid account freeze.,1,kyc,English,synthetic
Aapka PAN-Aadhaar verification pending hai. Update now.,1,kyc,Hinglish,synthetic
"प्रिय ग्राहक, आपका KYC अधूरा है। तुरंत सत्यापन करें।",1,kyc,Hindi,synthetic
Aapka PAN-Aadhaar verification pending hai. Update now.,1,kyc,Hinglish,synthetic
Complete KYC immediately at <URL> to avoid account freeze.,1,kyc,English,synthetic
Complete KYC immediately at <URL> to avoid account freeze.,1,kyc,English,synthetic
"प्रिय ग्राहक, आपका KYC अधूरा है। तुरंत सत्यापन करें।",1,kyc,Hindi,synthetic
Aapka PAN-Aadhaar verification pending hai. Update now.,1,kyc,Hinglish,synthetic
Aapka PAN-Aadhaar verification pending hai. Update now.,1,kyc,Hinglish,synthetic
Aapka PAN-Aadhaar verification pending hai. Update now.,1,kyc,Hinglish,synthetic
Complete KYC immediately at <URL> to avoid account freeze.,1,kyc,English,synthetic
Complete KYC immediately at <URL> to avoid account freeze.,1,kyc,English,synthetic
Aapka PAN-Aadhaar verification pending hai. Update now.,1,kyc,Hinglish,synthetic
Complete KYC immediately at <URL> to avoid account freeze.,1,kyc,English,synthetic
Complete KYC immediately at <URL> to avoid account freeze.,1,kyc,English,synthetic
Aapka PAN-Aadhaar verification pending hai. Update now.,1,kyc,Hinglish,synthetic
Complete KYC immediately at <URL> to avoid account freeze.,1,kyc,English,synthetic
Aapka PAN-Aadhaar verification pending hai. Update now.,1,kyc,Hinglish,synthetic
Aapka PAN-Aadhaar verification pending hai. Update now.,1,kyc,Hinglish,synthetic
"प्रिय ग्राहक, आपका पार्सल डिलीवर नहीं हो पाया।",1,delivery,Hindi,synthetic
Aapka courier warehouse mein atka hua hai.,1,delivery,Hinglish,synthetic
Your parcel is on hold. Pay <AMOUNT> at <URL>.,1,delivery,English,synthetic
"प्रिय ग्राहक, आपका पार्सल डिलीवर नहीं हो पाया।",1,delivery,Hindi,synthetic
Aapka courier warehouse mein atka hua hai.,1,delivery,Hinglish,synthetic
"प्रिय ग्राहक, आपका पार्सल डिलीवर नहीं हो पाया।",1,delivery,Hindi,synthetic
Your parcel is on hold. Pay <AMOUNT> at <URL>.,1,delivery,English,synthetic
Aapka courier warehouse mein atka hua hai.,1,delivery,Hinglish,synthetic
Your parcel is on hold. Pay <AMOUNT> at <URL>.,1,delivery,English,synthetic
"प्रिय ग्राहक, आपका पार्सल डिलीवर नहीं हो पाया।",1,delivery,Hindi,synthetic
Aapka courier warehouse mein atka hua hai.,1,delivery,Hinglish,synthetic
"प्रिय ग्राहक, आपका पार्सल डिलीवर नहीं हो पाया।",1,delivery,Hindi,synthetic
"प्रिय ग्राहक, आपका पार्सल डिलीवर नहीं हो पाया।",1,delivery,Hindi,synthetic
Aapka courier warehouse mein atka hua hai.,1,delivery,Hinglish,synthetic
"प्रिय ग्राहक, आपका पार्सल डिलीवर नहीं हो पाया।",1,delivery,Hindi,synthetic
Your parcel is on hold. Pay <AMOUNT> at <URL>.,1,delivery,English,synthetic
"प्रिय ग्राहक, आपका पार्सल डिलीवर नहीं हो पाया।",1,delivery,Hindi,synthetic
Your parcel is on hold. Pay <AMOUNT> at <URL>.,1,delivery,English,synthetic
Your parcel is on hold. Pay <AMOUNT> at <URL>.,1,delivery,English,synthetic
"प्रिय ग्राहक, आपका पार्सल डिलीवर नहीं हो पाया।",1,delivery,Hindi,synthetic
Your parcel is on hold. Pay <AMOUNT> at <URL>.,1,delivery,English,synthetic
Aapka courier warehouse mein atka hua hai.,1,delivery,Hinglish,synthetic
Your parcel is on hold. Pay <AMOUNT> at <URL>.,1,delivery,English,synthetic
Your parcel is on hold. Pay <AMOUNT> at <URL>.,1,delivery,English,synthetic
Your parcel is on hold. Pay <AMOUNT> at <URL>.,1,delivery,English,synthetic
Aapke naam pe illegal SIM issue hua hai.,1,digital_arrest,Hinglish,synthetic
Aapke naam pe illegal SIM issue hua hai.,1,digital_arrest,Hinglish,synthetic
Aapke naam pe illegal SIM issue hua hai.,1,digital_arrest,Hinglish,synthetic
आपके खिलाफ साइबर अपराध मामला दर्ज किया गया है।,1,digital_arrest,Hindi,synthetic
Aapke naam pe illegal SIM issue hua hai.,1,digital_arrest,Hinglish,synthetic
TRAI complaint filed against your number. Respond urgently.,1,digital_arrest,English,synthetic
Aapke naam pe illegal SIM issue hua hai.,1,digital_arrest,Hinglish,synthetic
Aapke naam pe illegal SIM issue hua hai.,1,digital_arrest,Hinglish,synthetic
TRAI complaint filed against your number. Respond urgently.,1,digital_arrest,English,synthetic
आपके खिलाफ साइबर अपराध मामला दर्ज किया गया है।,1,digital_arrest,Hindi,synthetic
Aapke naam pe illegal SIM issue hua hai.,1,digital_arrest,Hinglish,synthetic
आपके खिलाफ साइबर अपराध मामला दर्ज किया गया है।,1,digital_arrest,Hindi,synthetic
आपके खिलाफ साइबर अपराध मामला दर्ज किया गया है।,1,digital_arrest,Hindi,synthetic
आपके खिलाफ साइबर अपराध मामला दर्ज किया गया है।,1,digital_arrest,Hindi,synthetic
TRAI complaint filed against your number. Respond urgently.,1,digital_arrest,English,synthetic
आपके खिलाफ साइबर अपराध मामला दर्ज किया गया है।,1,digital_arrest,Hindi,synthetic
आपके खिलाफ साइबर अपराध मामला दर्ज किया गया है।,1,digital_arrest,Hindi,synthetic
TRAI complaint filed against your number. Respond urgently.,1,digital_arrest,English,synthetic
आपके खिलाफ साइबर अपराध मामला दर्ज किया गया है।,1,digital_arrest,Hindi,synthetic
