text,label,category,lang,source
"<name>, your otp for sbi account verification is <otp>. share this with our kyc executive to complete mandatory aadhaar linking. helpline: <phone>.",1,otp,en,manual
"dear customer, aapka otp <otp> hai account update ke liye. yeh otp hamare executive ko share karein warna aapka account kal band ho jayega. call karein: <phone>",1,otp,hinglish,manual
"आपके खाते की केवाईसी पूर्ण करने के लिए ओटीपी <otp> है। इसे हमारे अधिकारी को <phone> पर साझा करें, अन्यथा खाता बंद होगा।",1,otp,hi,manual
"lic policy renewal ke liye aapka otp <otp> generate hua hai. please call <phone> par aur yeh otp verify karein. 30 minutes mein expire hoga.",1,otp,hinglish,manual
"alert: your paytm wallet has been flagged for suspicious activity. enter otp <otp> at <url> to restore access. failure to comply will result in wallet suspension.",1,otp,en,manual
"आपके एसबीआई खाते में संदिग्ध गतिविधि पाई गई है। खाता सुरक्षित करने के लिए ओटीपी <otp> हमारे अधिकारी को दें। सम्पर्क: <phone>",1,otp,hi,manual
"gpay upi account verification pending hai. aapka one-time password <otp> hai. ise complete karne ke liye <phone> par call karein. 15 min mein expire hoga.",1,otp,hinglish,manual
"your hdfc bank kyc is incomplete. as per rbi guidelines, accounts with pending kyc will be blocked by <date>. update now: <url>",1,kyc,en,manual
"dear sbi customer, aapka kyc incomplete hai. kal tak update nahi kiya toh aapka account suspend ho jayega. abhi link karein: <url>",1,kyc,hinglish,manual
"आरबीआई के निर्देशानुसार, आपका बैंक खाता केवाईसी अपडेट नहीं होने के कारण <date> को बंद हो जाएगा। अभी अपडेट करें: <url>",1,kyc,hi,manual
"urgent: your paytm kyc verification is pending. complete e-kyc to continue using upi services. update details here: <url> — paytm team",1,kyc,en,manual
"axis bank customer, aapki kyc expire ho gayi hai. 48 ghante ke andar update karein warna transactions block ho jayengi. update karo: <url>",1,kyc,hinglish,manual
"सूचना: आपके आधार और पैन कार्ड का बैंक से लिंक नहीं हुआ है। तुरंत लिंक करें: <url> अन्यथा आपका खाता <date> से निष्क्रिय हो जाएगा।",1,kyc,hi,manual
"<name>, aapka jio sim card deactivate hone wala hai kyc expiry ke karan. abhi kyc complete karein is link par: <url> ya call karein <phone>",1,kyc,hinglish,manual
"delhivery: your shipment could not be delivered. address incomplete. reschedule at <url>. a nominal fee of <amount> applies. tracking id: <acct>",1,delivery,en,manual
"aapka amazon package undelivered hai kyunki address incomplete tha. delivery reschedule karne ke liye <amount> pay karein: <url>. order id <acct>",1,delivery,hinglish,manual
"fedex customs alert: your international parcel is held at customs. release payment of <amount> required within 24 hrs. pay at <url> to avoid return.",1,delivery,en,manual
"इंडिया पोस्ट: आपका पार्सल कस्टम क्लियरेंस में रुका है। <amount> का भुगतान करें और पार्सल रिलीज़ करें: <url>",1,delivery,hi,manual
"bluedart: aapka parcel <acct> deliver nahi ho saka. re-delivery ke liye <amount> ka payment karein aur naya slot book karein: <url>",1,delivery,hinglish,manual
"your meesho order is awaiting delivery confirmation. provide otp <otp> to our delivery agent or click <url> to confirm. failure will result in order return.",1,delivery,en,manual
"important notice: your electricity connection will be permanently disconnected tonight at 9:30 pm due to an outstanding bill of <amount>. to avoid disconnection immediately contact our officer: <phone>",1,electricity,en,manual
"bescom notice: aapke ghar ki bijli aaj raat <amount> outstanding bill ke karan kat di jayegi. abhi payment karein ya officer se baat karein: <phone>",1,electricity,hinglish,manual
"सूचना: आपके बिजली बिल का <amount> बकाया है। आज रात 10 बजे तक भुगतान नहीं होने पर कनेक्शन काट दिया जाएगा। अभी संपर्क करें: <phone>",1,electricity,hi,manual
"uppcl: aapka electricity connection <date> ko disconnect hoga. abhi payment karein ya helpline par call karein: <phone>. online pay: <url>",1,electricity,hinglish,manual
"final warning from tata power: meter reading discrepancy of <amount> found on your account. pay immediately to avoid disconnection. contact lineman: <phone>",1,electricity,en,manual
"बिजली विभाग नोटिस: आपका कनेक्शन आज शाम 7 बजे काटा जाएगा। बकाया <amount> का भुगतान करने के लिए अभी कॉल करें: <phone>",1,electricity,hi,manual
"this is a notice from the cybercrime investigation cell new delhi. your mobile number has been linked to money laundering activity. you are under digital arrest. contact officer immediately: <phone>. failure to respond may lead to fir.",1,digital_arrest,en,manual
"trai notice: aapka mobile number illegal activities mein use hua hai. aapka sim 2 ghante mein block ho jayega. cybercrime officer se baat karein: <phone>",1,digital_arrest,hinglish,manual
"सीबीआई नोटिस: आपके आधार कार्ड पर एक संदिग्ध खाता पंजीकृत है। कानूनी कार्रवाई से बचने के लिए तुरंत अधिकारी से संपर्क करें: <phone>",1,digital_arrest,hi,manual
"narcotics control bureau alert: a parcel in your name containing contraband has been seized at mumbai airport. report to our officer at <phone> within 2 hours or face arrest.",1,digital_arrest,en,manual
