text,label,category,lang,source
"This is CBI Officer Rakesh Sharma, badge no. 4872. A parcel in your name was intercepted at Delhi airport containing 2.3kg of contraband. FIR registered under NDPS Act. To avoid immediate arrest call <PHONE> within 2 hours.",1,digital_arrest,en,synthetic
"TRAI OFFICIAL NOTICE: Your mobile number has been reported for cybercrime activity. A disconnection order is being issued in 4 hours. To contest this action call <PHONE> immediately. Failure to respond will result in criminal proceedings.",1,digital_arrest,en,synthetic
"Mumbai Cyber Crime Branch: Your bank account <ACCT> has been flagged in a <AMOUNT> money laundering investigation. You are required to connect on video call immediately. Non-compliance will result in arrest. Call <PHONE> now.",1,digital_arrest,en,synthetic
"CUSTOMS DEPARTMENT INDIA: An international parcel addressed to you has been seized at Chennai port containing prohibited items. Pay clearance penalty of <AMOUNT> at <URL> within 3 hours to avoid criminal prosecution.",1,digital_arrest,en,synthetic
"Income Tax Department Mumbai: Records show undisclosed foreign assets of <AMOUNT> in your name. A non-bailable arrest warrant has been issued. Contact Officer Mehta at <PHONE> immediately before the warrant is executed today.",1,digital_arrest,en,synthetic
"Narcotics Control Bureau Alert: A drug consignment of 5kg heroin was intercepted bearing your Aadhaar number. Case no. NCB/2024/1178. You will be placed under digital arrest in 30 minutes. Call <PHONE> to present your side.",1,digital_arrest,en,synthetic
"Enforcement Directorate Notice: FEMA violation detected. Transactions totalling <AMOUNT> from your account are under investigation. Your assets will be frozen within 2 hours. Call <PHONE> or face immediate arrest.",1,digital_arrest,en,synthetic
"Supreme Court of India — Contempt Notice. You have been named in case no. SC/CR/2024/4421. A non-bailable warrant is pending execution. Report via video call to our judicial officer at <PHONE> by 5 PM today to stay proceedings.",1,digital_arrest,en,synthetic
"Yeh CBI headquarters se call hai. Aapke naam pe Delhi customs mein ek parcel pakda gaya jisme 500gm drugs aur <AMOUNT> ki nakli currency thi. Aapka digital arrest ho raha hai. Abhi <PHONE> pe call karein.",1,digital_arrest,hinglish,synthetic
"TRAI ki taraf se important notice: Aapka number 3 illegal SIM cards se link hai jo Mumbai fraud case mein use hue hain. Aaj raat aapka number band hoga aur FIR darz hogi. Bachne ke liye abhi <PHONE> pe sampark karein.",1,digital_arrest,hinglish,synthetic
"Mumbai Police Cyber Cell se officer Desai bol rahe hain. Aapke account se <AMOUNT> ka fraudulent transfer trace hua hai. Aapko video call pe apna bayan dena hoga. <PHONE> pe aayein — 2 ghante ka samay hai warna warrant execute hoga.",1,digital_arrest,hinglish,synthetic
"Customs vibhag ka notice: Singapore se aane wala ek parcel aapke naam pe intercept kiya gaya. Usme banned electronic items hain. <AMOUNT> ka penalty abhi <URL> pe bhare warna aapko arrest kiya jayega.",1,digital_arrest,hinglish,synthetic
"ED officer Verma bol rahe hain. Aapka naam money laundering case no. ED/MUM/2024/8834 mein aaya hai. <AMOUNT> ka suspicious transaction aapke account se trace hua. 1 ghante mein <PHONE> contact karein warna ghar pe aayenge.",1,digital_arrest,hinglish,synthetic
"Cyber Crime Police: Aapka IP address ek child trafficking website se link paya gaya hai. Yeh non-bailable offense hai. Aap abhi digital custody mein hain. <PHONE> dial karein aur officer se baat karein nahi toh real arrest hoga.",1,digital_arrest,hinglish,synthetic
"Income Tax Dept notice: Aapne last 3 saal mein <AMOUNT> ki income chhupayi hai. Tax evasion case ITD/2024/3391 register hua hai. Aaj shaam 6 baje tak <PHONE> pe sampark karein warna warrant execute hoga.",1,digital_arrest,hinglish,synthetic
"NCB (Narcotics Control Bureau): Aapke Aadhaar se linked ek address pe drug lab raid hua. Aapka naam suspect list mein hai. Case clear karne ke liye 45 minute mein <PHONE> pe hamare investigating officer se baat karein.",1,digital_arrest,hinglish,synthetic
